order_id;user_id;order_number;order_dow;order_hour_of_day;days_since_prior_order
1797813;144499;13;2;15;2.0
1364544;179229;4;2;17;28.0
1658781;144852;3;2;17;4.0
48662;22131;5;3;14;3.0
2123743;51563;16;2;14;5.0
898177;5877;7;0;14;14.0
3323164;51979;23;1;11;6.0
2457213;153822;15;4;11;4.0
301417;115716;20;4;16;4.0
1030328;77788;68;5;15;4.0
3129415;201917;4;1;2;8.0
2269990;93608;58;4;12;6.0
3213816;129479;12;1;10;16.0
2016906;158978;4;6;12;22.0
1445559;65807;94;1;21;5.0
2825270;146781;98;2;15;1.0
330981;189419;6;4;18;30.0
1488058;132089;7;2;18;3.0
89124;120141;3;0;15;15.0
2138117;52728;9;3;15;8.0
1436340;86872;13;1;14;21.0
810910;110785;4;6;16;11.0
932578;62724;20;2;15;19.0
2916520;190137;46;2;15;4.0
1094481;30746;18;1;10;5.0
15091;17277;6;0;17;30.0
733855;6754;77;1;17;2.0
901887;158348;6;5;13;2.0
439974;36599;17;6;15;9.0
2318795;175639;10;1;9;14.0
1560661;62971;5;1;7;9.0
3141655;145109;5;3;8;6.0
2248323;201749;20;3;8;6.0
1073764;82851;25;1;11;5.0
1947495;120216;72;0;3;3.0
1334289;190091;12;6;18;30.0
332134;80467;5;4;12;5.0
467684;152885;6;1;20;30.0
2661390;184296;20;0;20;4.0
504796;150234;6;2;15;12.0
1232372;55467;11;0;13;22.0
2225428;122626;2;1;13;30.0
806135;50534;11;2;8;6.0
2204322;49905;16;3;13;3.0
2880803;45329;13;4;14;6.0
2952228;22404;19;6;8;7.0
3293906;4345;39;6;19;6.0
3384467;8303;19;1;20;7.0
1932349;82253;2;1;16;16.0
2023232;102579;2;6;17;14.0
3011393;175203;39;4;17;3.0
241848;96099;3;6;14;30.0
3140091;18037;70;2;16;5.0
2946607;17731;5;3;15;17.0
1922416;171627;27;3;18;5.0
2203800;164499;2;5;12;30.0
2414894;72758;4;4;14;30.0
2515502;42421;25;0;13;1.0
721661;104561;54;0;18;2.0
3224787;184810;37;5;16;6.0
2448939;110262;3;3;13;14.0
2769705;22222;8;6;14;1.0
868706;123256;44;5;21;4.0
2643260;18130;4;1;9;7.0
1181366;106532;3;2;12;17.0
1612998;124961;16;1;10;0.0
271708;66907;6;5;13;30.0
2119733;201312;15;5;11;10.0
1888468;81673;5;0;13;30.0
634240;164843;6;3;23;18.0
2404501;131476;4;0;19;3.0
865173;75863;8;2;8;11.0
560979;18606;37;3;19;4.0
2879742;141945;17;3;13;1.0
182143;45107;12;1;11;15.0
2175591;102339;33;4;15;1.0
3063462;88439;6;0;17;30.0
3399650;133364;69;4;12;2.0
1620424;143557;48;4;18;3.0
3188331;133865;39;0;15;3.0
1203122;108013;15;6;14;7.0
696088;91226;4;1;11;30.0
1720989;6066;10;1;10;2.0
2488284;23204;23;0;11;8.0
2573338;9197;19;1;10;8.0
2528889;4503;23;0;14;3.0
1514381;189860;7;6;16;13.0
76263;176583;49;5;12;3.0
3318527;140130;25;1;20;8.0
1646929;205815;37;5;13;8.0
60797;91666;53;5;10;3.0
2989978;106130;22;1;10;20.0
256485;158205;5;3;10;6.0
829060;63608;9;1;15;21.0
1521912;130466;6;6;7;22.0
1766306;154316;17;4;7;22.0
3215257;80647;35;0;17;1.0
1123315;128266;29;3;21;6.0
2482335;27445;53;3;7;4.0
2314075;190250;49;5;14;3.0
1385800;159856;3;6;10;17.0
241603;112319;52;6;14;4.0
3330835;144299;3;6;12;7.0
1118011;98193;13;1;11;12.0
1790641;126980;59;5;16;5.0
844076;151470;60;0;17;2.0
564412;54391;7;2;9;21.0
1539713;106767;9;0;10;3.0
2829224;55945;4;0;7;19.0
3170911;117233;5;2;16;5.0
918402;141281;6;5;17;30.0
2162419;34488;18;5;14;3.0
1688335;143134;16;2;16;7.0
1901682;53684;75;0;11;2.0
1778601;130393;31;4;9;3.0
2066768;204830;8;2;17;13.0
2083611;167412;2;0;16;3.0
2728242;180135;78;4;18;1.0
906381;151931;12;2;15;9.0
1573349;140818;6;5;9;17.0
1952882;41187;47;4;11;3.0
2723120;198609;4;0;15;9.0
2020172;54094;4;0;10;30.0
476945;171511;44;6;21;6.0
1356413;22937;9;5;23;11.0
2463923;37043;1;1;19;
1674348;51272;14;1;17;8.0
373841;65163;6;1;15;30.0
1946222;166908;15;3;12;3.0
3219660;52196;44;2;12;1.0
292273;132298;27;4;11;2.0
3358512;21933;20;4;12;16.0
854921;18412;57;4;8;4.0
1644166;48924;1;1;10;
245015;195346;7;3;9;9.0
1247468;171390;3;1;11;13.0
645972;111622;9;4;9;2.0
2388075;69730;12;5;17;6.0
1671849;67860;18;3;12;4.0
1729478;146518;4;1;10;30.0
1243718;108031;27;1;21;4.0
750829;22192;3;0;8;28.0
1893770;21594;6;3;17;7.0
1263637;146988;1;0;8;
928887;50582;18;4;16;10.0
1704083;34020;19;5;11;6.0
3406814;150647;62;3;12;3.0
1844859;51261;35;0;17;7.0
3264402;44932;11;0;21;12.0
3271719;32435;2;0;10;3.0
374266;19542;4;5;7;30.0
1754806;5932;67;0;10;2.0
75863;105353;9;5;11;2.0
1000383;184557;39;4;19;0.0
2721700;183648;2;1;11;20.0
2263220;69860;2;6;17;6.0
831673;12981;7;0;16;8.0
894917;17307;1;3;8;
3083848;125579;28;6;13;2.0
2099999;70505;65;4;9;3.0
1343043;194052;7;3;14;16.0
2828683;128880;24;2;12;4.0
1105999;181000;17;1;15;20.0
378852;134519;10;1;13;21.0
3273958;97716;4;1;15;9.0
3022595;177542;19;4;16;27.0
1486212;121855;63;3;21;9.0
2936114;90560;17;6;22;6.0
1463033;182315;20;5;17;17.0
3091300;32338;5;5;10;18.0
1600680;174692;19;3;13;19.0
2568831;196292;26;5;23;5.0
3156818;167525;16;6;18;6.0
2067817;166539;5;2;12;6.0
3136337;8842;23;0;22;4.0
1939230;53280;13;6;7;7.0
1615520;102628;6;4;14;30.0
153664;179149;1;1;10;
2354221;173145;29;2;16;7.0
987805;116825;4;1;14;6.0
1636216;121770;31;0;15;10.0
854934;69480;24;5;8;13.0
2454955;141933;6;6;15;27.0
2504379;38006;6;4;13;6.0
1926351;150015;9;0;7;7.0
2467483;70541;3;6;17;19.0
608116;23490;3;3;16;30.0
225812;65;8;1;12;29.0
2247447;106953;6;5;12;8.0
2609740;93080;1;2;17;
2952242;172222;15;0;14;0.0
471914;156574;21;1;13;11.0
791781;106514;5;4;19;25.0
1146477;77018;1;5;12;
2263807;66630;11;1;10;18.0
2593694;65807;98;4;21;16.0
507823;41599;14;4;17;9.0
2028147;42874;19;0;13;13.0
1509647;32273;14;2;11;15.0
2061153;178554;7;6;9;30.0
2288627;152743;11;1;11;16.0
2011749;38415;27;1;16;6.0
2587271;191372;3;0;13;25.0
903186;154204;3;1;12;6.0
3168599;70522;4;1;17;4.0
1051086;81845;1;4;8;
2544956;148913;16;4;17;28.0
3258533;139420;10;3;17;30.0
2218642;194379;26;5;12;12.0
3286474;82446;10;5;21;27.0
558229;164471;16;5;17;2.0
622228;55615;46;5;11;6.0
1043465;92677;1;0;16;
141351;135907;14;2;19;6.0
203469;82218;14;5;16;1.0
791682;36392;6;6;11;30.0
1287438;189800;23;3;10;2.0
1781214;204814;18;2;16;6.0
2727346;55626;76;3;16;2.0
1947937;31642;16;6;12;13.0
2740290;87345;6;4;14;2.0
941923;26299;27;0;8;14.0
2310660;105445;15;0;9;5.0
479831;134860;28;4;13;7.0
572387;155819;6;3;17;30.0
2792891;186848;7;3;15;30.0
2238116;54311;7;5;18;1.0
3133756;5615;6;5;9;1.0
3316606;35168;4;2;11;14.0
314888;51159;3;2;19;14.0
786112;182618;14;5;14;11.0
751716;13244;7;6;17;16.0
1839122;124885;19;3;16;2.0
389938;197953;3;1;13;6.0
2480746;135432;7;6;9;9.0
542238;167970;3;2;19;9.0
896575;155910;27;6;15;1.0
2276576;123481;18;1;18;3.0
664832;25898;39;4;12;10.0
2103656;24058;5;1;3;25.0
1494783;29881;67;1;7;2.0
1538595;165511;5;2;14;0.0
3042465;105072;13;6;8;6.0
2878242;68000;8;1;19;21.0
972863;195694;6;1;12;30.0
1178676;43123;75;4;8;3.0
2313429;123193;5;4;19;5.0
1832587;168902;5;2;10;28.0
2824090;204002;19;2;9;10.0
2108809;51034;22;1;5;10.0
1938034;102601;17;4;13;5.0
1799852;29169;5;4;16;8.0
3139013;182154;18;1;18;8.0
3007313;140779;3;2;20;30.0
555543;157057;3;4;13;12.0
949219;193748;22;0;11;0.0
1509619;30511;16;4;11;0.0
1155078;67435;30;4;8;1.0
113791;688;3;4;10;17.0
684559;61473;28;6;8;6.0
705395;89797;3;2;10;30.0
2499394;198555;38;3;19;9.0
1604616;185214;2;1;19;18.0
2381831;54761;18;2;14;8.0
262841;70083;39;4;9;3.0
402277;124328;8;4;19;5.0
1757809;166966;17;3;12;2.0
3353878;166254;40;5;12;1.0
1016072;84320;1;0;10;
318728;8273;28;5;14;30.0
1025431;19101;2;3;13;13.0
3350720;40975;20;6;9;7.0
552147;40855;25;0;8;7.0
1937269;29323;5;0;9;22.0
3409159;18310;8;3;15;8.0
39712;66440;81;2;14;4.0
1232454;54881;6;4;11;24.0
1795139;203715;24;4;19;4.0
2726258;2107;3;1;18;6.0
2951957;198188;14;4;9;30.0
1925742;54370;6;1;10;14.0
3171651;185708;2;3;22;30.0
1454368;57280;3;6;22;30.0
1051571;100866;17;0;8;8.0
3396746;113309;3;0;13;21.0
1744774;69604;24;2;17;9.0
2328812;10057;6;4;15;30.0
1744647;140194;7;3;20;9.0
543909;25235;2;5;14;19.0
2926043;147636;5;3;13;7.0
1372572;204745;2;3;8;2.0
3395498;126981;6;4;9;13.0
949658;81578;11;0;10;13.0
540728;122876;24;2;15;15.0
469849;81515;5;5;11;8.0
931587;9292;6;6;10;14.0
695160;164056;32;6;19;7.0
2326921;105425;8;3;22;9.0
1700051;23596;16;2;15;8.0
1112524;29994;6;6;13;17.0
3153666;127641;22;1;12;7.0
2950273;155763;16;1;11;19.0
1105337;45616;44;3;16;3.0
578234;141069;84;4;9;1.0
2071695;2424;9;4;16;0.0
2563887;180149;3;6;15;2.0
446433;83328;3;0;14;12.0
1606340;101519;6;3;10;30.0
1563391;138484;24;5;17;7.0
2893255;59138;10;1;15;4.0
421273;25284;27;4;11;4.0
226912;180284;15;1;11;14.0
2278953;201306;1;1;22;
1293886;33646;5;2;15;30.0
2328611;171134;6;1;13;17.0
1164715;164973;10;6;19;30.0
1895826;18839;4;0;18;2.0
2865283;133957;5;2;19;17.0
1509372;172892;2;5;17;30.0
563597;131748;31;5;15;1.0
36899;101651;4;5;16;3.0
148294;142487;20;1;11;6.0
2536575;32953;31;2;15;5.0
388921;79624;21;1;12;7.0
3193526;110129;71;2;16;3.0
276490;1004;24;1;12;11.0
91020;29038;2;5;18;4.0
1300214;33481;7;5;9;6.0
595391;130809;9;1;20;2.0
3357988;170503;28;1;18;9.0
855350;58004;80;2;17;1.0
1996896;192329;51;2;17;4.0
2870147;86208;12;6;14;6.0
187911;205538;10;6;17;13.0
1531769;71537;3;4;19;30.0
1625490;49868;18;1;11;7.0
1518044;66567;20;0;13;8.0
176362;185253;10;3;17;3.0
3201746;30699;12;6;11;8.0
798299;159378;10;5;9;11.0
3116309;145169;14;1;15;14.0
18561;38732;5;6;8;12.0
74920;55013;23;1;16;6.0
989563;158869;12;6;11;5.0
1540093;67126;11;4;16;9.0
2828200;201219;59;3;21;5.0
3126680;48849;10;4;11;5.0
427266;88271;59;0;17;4.0
119427;17295;8;4;11;30.0
3307301;86119;4;6;14;0.0
1561854;16290;95;5;9;2.0
2781181;198702;21;5;12;24.0
2556731;87143;7;6;10;29.0
3182214;164351;12;5;12;12.0
1634899;133593;7;5;15;18.0
3264718;52781;56;6;17;4.0
980236;69128;9;3;10;28.0
1212315;195502;7;5;6;7.0
2586823;81755;25;0;13;14.0
1191650;101394;5;5;11;13.0
1035942;24835;7;2;11;3.0
370453;182832;7;6;16;30.0
1696237;190075;40;2;17;14.0
197054;163259;6;0;11;4.0
419799;3412;6;3;11;6.0
3084302;132558;21;6;0;30.0
2489066;53737;28;0;12;8.0
335968;39303;4;2;18;30.0
523690;58401;6;4;18;30.0
555462;129198;60;1;13;8.0
154682;205640;25;0;11;7.0
1542029;50709;5;0;22;21.0
1386121;126117;7;1;20;2.0
341936;108683;29;6;9;6.0
1865951;17396;11;6;13;12.0
816035;106516;23;1;17;16.0
403609;145337;5;2;13;24.0
98372;164055;81;2;15;3.0
3255128;30482;38;6;16;2.0
1174040;194826;39;6;11;11.0
2023132;56358;21;2;10;18.0
1481502;100618;17;4;7;30.0
2951694;44978;18;1;9;30.0
1181711;191227;11;2;19;30.0
2048978;136104;81;5;10;4.0
2535200;196048;4;0;8;18.0
2847419;11083;33;2;14;19.0
2342589;40308;4;0;11;14.0
3284503;167899;5;3;16;3.0
1449236;58728;18;0;18;5.0
2310529;204137;30;5;15;26.0
2076034;52891;19;1;18;4.0
3177613;84244;8;4;8;30.0
790374;75494;9;5;8;10.0
1276147;196792;16;5;12;2.0
1165381;38328;7;5;18;21.0
2454406;99921;6;5;7;0.0
2257245;129301;3;0;15;6.0
1633037;71529;1;4;9;
2891672;30349;12;4;15;10.0
2539597;95213;8;5;13;11.0
1508728;178611;29;3;14;5.0
3178892;2105;12;1;14;30.0
1291192;327;36;5;14;16.0
1601490;148864;8;3;8;11.0
3244414;201135;83;3;22;2.0
2095750;148895;13;0;18;15.0
2550229;22046;32;2;22;3.0
813651;20322;62;1;12;7.0
2261659;48555;40;0;16;2.0
768132;108939;18;6;9;16.0
36513;159288;18;6;16;6.0
1925201;188137;20;0;16;5.0
341037;43770;7;5;13;26.0
2109209;99337;22;3;10;21.0
1535199;201079;5;4;11;23.0
2273239;134351;8;6;15;6.0
18089;102892;1;2;18;
1923027;153804;5;6;17;30.0
1544048;55618;5;0;15;30.0
2262034;140809;23;3;18;1.0
687892;28087;42;6;23;4.0
1446595;139535;4;0;11;19.0
971755;87284;53;1;8;8.0
1980830;148258;13;6;11;6.0
1708326;91544;42;5;9;4.0
481664;72793;19;2;12;9.0
24385;5066;3;4;8;30.0
83783;117983;1;0;16;
191975;59981;2;5;12;5.0
1318480;51195;6;0;16;15.0
3114279;65360;29;2;12;13.0
1751861;190793;30;4;15;15.0
2921754;116829;5;5;15;4.0
287262;162413;25;3;8;30.0
399390;85620;39;6;16;7.0
1507663;180281;3;1;16;30.0
2471354;154295;5;1;13;1.0
1010158;75795;2;6;11;5.0
2804553;193261;38;6;19;13.0
3376786;122361;5;1;20;6.0
8768;61910;10;6;10;25.0
1834525;55793;38;1;12;2.0
2763503;104540;33;1;14;14.0
3383231;12942;68;2;14;3.0
1474328;141817;10;2;9;30.0
2045933;18729;25;6;12;10.0
2019786;23508;2;0;21;13.0
709112;82243;3;4;15;6.0
2689732;174283;4;2;14;9.0
1660244;53916;8;6;13;30.0
1156074;101797;68;0;19;4.0
2519906;117942;18;3;21;3.0
2814789;126614;13;3;11;6.0
1926329;72865;11;1;8;20.0
2951640;74166;8;6;10;9.0
3192890;30385;13;0;8;8.0
2931871;81855;4;5;9;30.0
2690102;164820;27;6;18;7.0
2864137;44599;87;5;16;2.0
1812241;105602;32;0;20;4.0
2346776;201654;14;2;16;2.0
2659848;127951;13;3;19;6.0
2751943;204253;31;6;6;8.0
2167422;81178;3;6;14;11.0
282365;96775;47;0;15;3.0
1128153;37595;51;4;19;3.0
2487396;38332;40;1;19;3.0
1602317;16986;27;1;10;7.0
2102011;66957;19;4;18;2.0
3227967;26408;2;2;7;7.0
2834117;69687;62;3;8;4.0
2769896;95063;12;1;17;4.0
885965;106819;11;4;10;9.0
388207;33838;15;3;9;7.0
2384861;2235;5;0;7;2.0
515321;56331;2;1;19;23.0
2341051;103939;7;4;10;3.0
3338950;106563;2;4;19;4.0
1005555;156532;2;6;19;30.0
3156097;38798;34;6;0;12.0
292317;15017;4;5;13;12.0
1894032;43592;55;3;15;8.0
994474;22017;58;2;11;6.0
16961;154728;7;1;10;9.0
196033;47568;5;0;17;7.0
556118;65010;3;1;6;6.0
2915722;56962;7;2;18;13.0
2563830;138065;6;2;12;14.0
3116842;192155;5;2;9;30.0
2581131;78775;36;5;14;0.0
3334651;170848;22;5;7;4.0
1222912;171019;4;5;7;19.0
2356381;100279;28;6;18;13.0
2018840;121017;16;2;13;30.0
2649456;75620;7;0;10;0.0
2288426;165109;27;0;14;2.0
1571271;113763;2;0;9;5.0
2069867;152138;19;6;17;0.0
1629956;189268;4;0;12;14.0
1638567;186150;4;0;8;8.0
2687151;126569;67;2;6;1.0
278918;143405;2;3;15;30.0
2248284;178632;77;6;9;4.0
878975;181061;1;2;19;
2724075;182167;21;5;10;15.0
687907;25306;6;0;20;2.0
2372240;104650;3;0;14;26.0
71040;139897;97;6;17;2.0
2655364;112693;36;5;10;11.0
2838327;21437;8;3;18;11.0
2542792;33678;28;1;11;6.0
2700978;13257;34;6;13;3.0
892914;203775;6;6;7;30.0
76286;198261;83;4;16;4.0
1940410;172558;17;1;23;7.0
2063919;154684;12;0;13;5.0
626981;188192;47;5;16;8.0
3003351;189847;50;0;17;0.0
2153634;189438;10;5;11;9.0
2499224;85499;2;4;23;16.0
535963;183948;1;2;8;
2733856;105510;9;0;14;14.0
1424179;17834;22;1;15;12.0
1354403;50637;18;3;19;10.0
1323611;71531;26;0;10;7.0
2873442;115308;20;4;18;10.0
492723;14501;5;4;7;5.0
3189364;8228;10;4;11;8.0
987463;167148;19;0;9;14.0
218678;80650;16;2;17;0.0
1571874;180214;61;1;20;2.0
2084267;182913;1;3;20;
2595276;197902;7;2;14;2.0
1145558;88398;2;4;15;13.0
1302328;45004;12;2;14;6.0
2839062;63596;6;1;14;20.0
2684908;53691;5;3;17;7.0
1810122;139164;11;3;12;5.0
2783594;113993;93;1;17;1.0
1286515;146013;1;1;19;
2115297;120756;41;4;11;3.0
409338;14632;9;4;14;0.0
2095386;205068;23;1;8;1.0
1280021;25415;12;4;20;9.0
3173305;90937;4;3;17;16.0
1921548;15572;9;1;14;3.0
3409629;105651;57;3;17;6.0
653017;17618;1;2;21;
3116498;20175;30;3;13;8.0
503402;35150;3;5;9;5.0
11689;61198;32;1;9;5.0
204230;90939;2;0;18;30.0
1000059;57287;29;4;16;9.0
2373068;65463;25;1;10;10.0
1755694;99156;6;3;11;8.0
2587532;109193;2;1;13;8.0
180984;24169;13;2;14;0.0
1827283;24470;11;1;13;7.0
1402463;63301;10;5;14;6.0
3220565;146892;15;3;13;16.0
2644686;29587;6;5;16;11.0
2237839;50607;48;3;13;2.0
1638432;88119;17;1;10;5.0
1371244;55073;67;1;10;1.0
3293002;69501;8;0;13;10.0
3087293;194301;39;1;15;10.0
1876567;177081;13;0;16;4.0
3056967;9437;17;1;9;4.0
3280197;155579;4;0;11;7.0
7531;18130;17;1;8;6.0
2987831;118041;7;3;10;6.0
2066007;159788;14;4;20;3.0
1808234;157324;17;6;14;14.0
46269;181337;3;6;9;6.0
1500229;130466;18;3;12;8.0
3223950;141395;47;4;14;2.0
3286113;118400;9;3;17;5.0
591581;1781;26;2;17;7.0
1322971;178874;9;6;15;13.0
2722330;12094;19;2;17;5.0
3333586;54901;80;6;12;3.0
2340107;202153;91;6;11;1.0
27927;136505;18;6;15;5.0
85139;145410;4;5;19;21.0
2670594;10633;4;6;7;30.0
888315;121010;28;4;11;30.0
682617;66234;6;0;13;30.0
1908279;37041;18;3;10;9.0
1687279;12449;26;0;12;6.0
316604;186947;13;6;13;19.0
2162367;41776;11;5;10;9.0
560230;155010;12;3;11;10.0
402278;150290;20;3;15;6.0
74198;121122;11;2;23;30.0
2965469;10244;16;4;17;20.0
1381047;26792;22;3;13;3.0
2013759;23618;17;4;16;2.0
3370700;34301;5;6;8;7.0
3342871;145916;21;0;17;8.0
1296355;53955;8;6;14;30.0
849238;115341;4;6;16;21.0
619945;33299;3;2;10;22.0
1690577;48789;9;0;11;17.0
1775789;143599;6;2;13;30.0
576910;43736;24;6;12;17.0
1981853;138592;2;0;13;7.0
825232;67948;3;0;15;30.0
1239726;113611;5;4;14;30.0
1745429;164571;9;0;9;9.0
3270238;184659;11;0;10;2.0
2473694;29705;11;6;8;15.0
2450971;23783;15;4;16;7.0
1183075;46535;16;4;18;6.0
1344956;153029;18;2;11;0.0
2509153;85844;29;6;13;5.0
2340594;17301;4;0;11;6.0
3319274;125675;28;3;20;6.0
2955428;171486;42;5;14;30.0
1492120;62207;13;4;6;6.0
2348516;187680;5;2;9;15.0
2743463;72360;25;3;14;0.0
2807014;42706;25;6;21;2.0
1174170;23877;5;4;12;16.0
141667;87286;8;1;8;28.0
3327707;40554;6;4;10;4.0
1798202;98784;9;5;11;4.0
376181;86010;3;3;17;4.0
194124;130314;4;5;15;13.0
3169680;166076;49;5;15;2.0
1916708;109349;9;5;16;2.0
3140733;39914;10;1;12;22.0
117609;64061;13;5;18;7.0
668822;102545;8;1;17;11.0
1870173;37896;5;1;14;30.0
889393;62032;13;4;12;25.0
425656;73447;7;6;14;12.0
423032;158913;40;4;12;7.0
708301;43046;3;4;10;13.0
2024454;144561;6;0;10;8.0
2450291;180557;1;1;20;
2631971;21322;10;3;16;4.0
127380;23965;22;3;14;10.0
516561;111487;31;6;8;7.0
1106598;108717;11;4;22;23.0
112556;113776;25;0;14;7.0
909553;53570;3;0;15;30.0
694697;148760;49;1;18;5.0
565192;109206;13;4;13;7.0
2837052;51700;37;6;18;7.0
3070689;59567;1;5;19;
2369743;69754;8;3;20;24.0
365888;87255;13;1;12;27.0
2323908;30130;1;2;17;
26043;129753;23;3;8;9.0
319555;148842;4;5;16;4.0
1196324;73913;16;2;8;3.0
80955;150225;49;5;12;5.0
2663551;189797;6;6;13;21.0
619448;30432;9;0;10;8.0
2116636;108742;6;6;15;30.0
634969;183724;5;0;15;12.0
707164;98451;11;5;8;8.0
2131830;103730;5;3;8;30.0
1185915;135292;16;4;20;30.0
131869;162780;6;0;16;30.0
1654933;87330;5;1;14;6.0
55576;55695;53;2;5;8.0
3420684;123110;6;4;9;18.0
1462355;48744;42;2;14;1.0
1065683;101171;3;3;15;13.0
994496;146887;11;1;15;4.0
302650;124770;1;0;12;
1793009;172450;1;3;14;
1436265;171761;8;4;12;23.0
1883484;102581;6;0;20;22.0
3391401;146490;28;5;9;4.0
1262502;59857;8;6;10;6.0
2084272;68367;40;4;7;8.0
2431878;11315;5;3;18;4.0
1370019;5927;59;0;11;4.0
